Classifications,Permanent Call Number,Material Type,Author,ISBN,ISSN,Title (Complete),Publication Place,Publisher,Publication Date,Barcode,Replacement cost,
Architecture,NA200 .A73,Book,,084780349X; 9780847803491,,Architecture of the Western World / edited and with an introd. by Michael Raeburn ; foreword by Sir Hugh Casson ; individual chapters by J. J. Coulton ... [et al.].,New York :,Rizzoli,1980,39097001304428,,39097001304428
Architecture,NA7328 .M8713,Book,"Muthesius, Hermann, 1861-1927",0847802191; 9780847802197,,The English house / by Hermann Muthesius ; edited with an introd. by Dennis Sharp ; and a pref. by Julius Posener ; translated by Janet Seligman.,New York :,Rizzoli,1979,39097001304444,,39097001304444
Visual arts,N6993 .O552,Book,"Okkonen, Onni, 1886-1962 author",,,Finnish art / [Translated from the Finnish by Helen Goldthwait-Väänänen],Porvoo:,W Söderström,[1946],39097001304667,,39097001304667
Architecture,NA208 .W6,Book,"Wodehouse, Lawrence",0810314509; 9780810314504,,Indigenous architecture worldwide : a guide to information sources / Lawrence Wodehouse.,Detroit :,Gale Research,c1980.,39097001311761,,39097001311761
Visual arts,N85 .B85,Book,"Bunch, Clarence.",0810312727; 9780810312722,,Art education : a guide to information sources / Clarence Bunch.,Detroit :,Gale Research Co,c1978.,39097001311795,,39097001311795
Visual arts,N6535.N5 S53,Book,"Simpson, Charles R.",0226759377; 9780226759371,,"SoHo, the artist in the city / Charles R. Simpson.",Chicago :,University of Chicago Press,1981,39097001314930,,39097001314930
Visual arts,N7445.2 .P675 1980,Book,"Pound, Ezra, 1885-1972",0811207722; 9780811207720,,Ezra Pound and the visual arts / edited with an introd. by Harriet Zinnes.,New York :,New Directions,1980,39097001315200,,39097001315200
Architecture,NA6821 .S82 1978,Book,"Stoddard, Richard.",0810314266; 9780810314269,,Theatre and cinema architecture : a guide to information sources / Richard Stoddard.,Detroit :,Gale Research Co,c1978.,39097001319780,,39097001319780
Visual arts,N6868 .U3,Book,,,,"Überleben und widerstehen : Zeichnungen von Häftlingen des Konzentrationslagers Auschwitz 1940-46 : [eine Ausstellung der Deutsch-Polnischen Gesellschaft der Bundesrepublik Deutschland e. V. und des Staatlichen Museums Oświęcim-Brzezinka / Redaktion, Marina Stütz ; Übersetzung, Christine Kopka, Marina Stütz.]",Düsseldorf :,Deutsch-Polnische Gesellschaft,c1979.,39097001320002,,39097001320002
Visual arts,N6921.S6 A77,Book,,,,"L'Arte a Siena sotto i Medici, 1555-1609 : Siena, Palazzo Pubblico, 3 maggio-15 settembre : [catalogo / a cura di Fiorella Sricchia Santoro].",Roma :,De Luca,[1980],39097001326793,,39097001326793
Architecture,NA705 .W473,Book,"Whiffen, Marcus",0262231050; 9780262231053,,"American architecture, 1607-1976 / Marcus Whiffen and Frederick Koeper.","Cambridge, Mass. :",MIT Press,c1981.,39097001330480,,39097001330480
